category,city,query,status,notes
community manager,Auxerre,community manager Auxerre,new,
graphiste freelance,Auxerre,graphiste freelance Auxerre,new,
créateur de site web,Auxerre,créateur de site web Auxerre,new,
consultant marketing,Auxerre,consultant marketing Auxerre,new,
agence communication,Auxerre,agence communication Auxerre,new,
photographe professionnel,Auxerre,photographe professionnel Auxerre,new,
community manager,Sens,community manager Sens,new,
graphiste freelance,Sens,graphiste freelance Sens,new,
créateur de site web,Sens,créateur de site web Sens,new,
consultant marketing,Sens,consultant marketing Sens,new,
agence communication,Sens,agence communication Sens,new,
photographe professionnel,Sens,photographe professionnel Sens,new,
community manager,Joigny,community manager Joigny,new,
graphiste freelance,Joigny,graphiste freelance Joigny,new,
créateur de site web,Joigny,créateur de site web Joigny,new,
consultant marketing,Joigny,consultant marketing Joigny,new,
agence communication,Joigny,agence communication Joigny,new,
photographe professionnel,Joigny,photographe professionnel Joigny,new,
