category,city,query,status,notes,message,website,email,linkedin,search_url,source,contact_found,enrichment_status
community manager,Auxerre,community manager Auxerre,new,,Message test pour community manager à Auxerre — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=community+manager+Auxerre,,False,pending
graphiste freelance,Auxerre,graphiste freelance Auxerre,new,,Message test pour graphiste freelance à Auxerre — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=graphiste+freelance+Auxerre,,False,pending
créateur de site web,Auxerre,créateur de site web Auxerre,new,,Message test pour créateur de site web à Auxerre — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=cr%C3%A9ateur+de+site+web+Auxerre,,False,pending
consultant marketing,Auxerre,consultant marketing Auxerre,new,,Message test pour consultant marketing à Auxerre — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=consultant+marketing+Auxerre,,False,pending
agence communication,Auxerre,agence communication Auxerre,new,,Message test pour agence communication à Auxerre — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=agence+communication+Auxerre,,False,pending
photographe professionnel,Auxerre,photographe professionnel Auxerre,new,,Message test pour photographe professionnel à Auxerre — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=photographe+professionnel+Auxerre,,False,pending
community manager,Sens,community manager Sens,new,,Message test pour community manager à Sens — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=community+manager+Sens,,False,pending
graphiste freelance,Sens,graphiste freelance Sens,new,,Message test pour graphiste freelance à Sens — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=graphiste+freelance+Sens,,False,pending
créateur de site web,Sens,créateur de site web Sens,new,,Message test pour créateur de site web à Sens — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=cr%C3%A9ateur+de+site+web+Sens,,False,pending
consultant marketing,Sens,consultant marketing Sens,new,,Message test pour consultant marketing à Sens — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=consultant+marketing+Sens,,False,pending
agence communication,Sens,agence communication Sens,new,,Message test pour agence communication à Sens — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=agence+communication+Sens,,False,pending
photographe professionnel,Sens,photographe professionnel Sens,new,,Message test pour photographe professionnel à Sens — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=photographe+professionnel+Sens,,False,pending
community manager,Joigny,community manager Joigny,new,,Message test pour community manager à Joigny — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=community+manager+Joigny,,False,pending
graphiste freelance,Joigny,graphiste freelance Joigny,new,,Message test pour graphiste freelance à Joigny — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=graphiste+freelance+Joigny,,False,pending
créateur de site web,Joigny,créateur de site web Joigny,new,,Message test pour créateur de site web à Joigny — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=cr%C3%A9ateur+de+site+web+Joigny,,False,pending
consultant marketing,Joigny,consultant marketing Joigny,new,,Message test pour consultant marketing à Joigny — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=consultant+marketing+Joigny,,False,pending
agence communication,Joigny,agence communication Joigny,new,,Message test pour agence communication à Joigny — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=agence+communication+Joigny,,False,pending
photographe professionnel,Joigny,photographe professionnel Joigny,new,,Message test pour photographe professionnel à Joigny — [MOCK] pas d'appel OpenAI.,,,,https://www.google.com/search?q=photographe+professionnel+Joigny,,False,pending
